epoch,train_loss,train_time,val_loss,val_acc
1,0.569997659633557,20.708603858947754,0.41673216427627363,0.8501315789473685
2,0.3492446207086245,19.620009183883667,0.3526152983150984,0.8764473684210526
3,0.2839341888929407,20.0346040725708,0.3194787114701773,0.8926315789473684
4,0.23776349815080564,18.660374879837036,0.3145589375260629,0.8973684210526316
5,0.20120127364421883,20.360753774642944,0.3240735622926762,0.8953947368421052
6,0.17126461350768804,19.855578899383545,0.35971950441598893,0.8903947368421052
7,0.14679011188795169,19.37833261489868,0.3605677025333831,0.8928947368421053
8,0.1265447506863003,18.883379220962524,0.3721486685699538,0.8930263157894737
9,0.10831275130212308,19.984992742538452,0.4017297317695461,0.8960526315789473
10,0.09541899710819125,19.746333122253418,0.4117032852121874,0.8957894736842106
11,0.08222402783616757,18.83442735671997,0.41534265594262826,0.896578947368421
12,0.07318281984870943,20.091129541397095,0.4639408328972365,0.890921052631579
13,0.06542333361753262,20.250603199005127,0.48731438388949944,0.89
14,0.05882229318699489,18.728692293167114,0.5110562974998826,0.8880263157894737
15,0.05390287251434444,19.778690576553345,0.5382978524414724,0.8897368421052632
16,0.04793724123605837,20.511878967285156,0.592819918634272,0.8867105263157895
17,0.044807230027889215,20.040498971939087,0.5448306319421451,0.8951315789473684
18,0.04140151505926624,19.146641731262207,0.5645468666777015,0.8934210526315789
19,0.0390172738347901,18.557425260543823,0.5441073668628049,0.8939473684210526
20,0.03709160826840477,18.69217824935913,0.6048098710635187,0.8863157894736842
